Name,Draft Year,Role,League,Pre-NBA,Team Color,Actual Pick,NBA Team,ABV,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs)
Cooper Flagg,2025,Wing,ACC,Duke,#003087,1,Dallas Mavericks,DAL,18.5,79.75,"6'7.75""",84,"7'0""",4.25,221
Dylan Harper,2025,Guard,Big 10,Rutgers,#CC0033,2,San Antonio Spurs,SAS,19.3,76.5,"6'4.5""",82.5,"6'10.5""",6,213
VJ Edgecombe,2025,Guard,Big 12,Baylor,#154734,3,Philadelphia 76ers,PHI,19.89,76,"6'4""",79.5,"6'7.5""",3.5,193
Kon Knueppel,2025,Wing,ACC,Duke,#003087,4,Charlotte Hornets,CHA,19.88,77,"6'5""",78.25,"6'6.25""",1.25,219
Ace Bailey,2025,Wing,Big 10,Rutgers,#CC0033,5,Utah Jazz,UTA,18.85,79.75,"6'7.75""",84.5,"7'0.5""",4.75,203
Tre Johnson,2025,Wing,SEC,Texas,#BF5700,6,Washington Wizards,WAS,19.29,76.75,"6'4.75""",82.25,"6'10.25""",5.5,190
Jeremiah Fears,2025,Guard,SEC,Oklahoma,#841617,7,New Orleans Pelicans,NOP,18.7,74.5,"6'2.5""",77.25,"6'5.25""",2.75,180
Egor Demin,2025,Guard,Big 12,BYU,#0062B8,8,Brooklyn Nets,BKN,19.31,80.25,"6'8.25""",82.25,"6'10.25""",2,199
Collin Murray-Boyles,2025,Wing,SEC,South Carolina,#73000A,9,Toronto Raptors,TOR,20.04,78.5,"6'6.5""",84.75,"7'0.75""",6.25,239
Khaman Maluach,2025,Big,ACC,Duke,#003087,10,Phoenix Suns,PHX,18.76,84.5,"7'0.5""",90.75,"7'6.75""",6.25,253
Cedric Coward,2025,Wing,PAC 12,Washington State,#981E32,11,Memphis Grizzlies,MEM,21.79,77.25,"6'5.25""",86.25,"7'2.25""",9,213
Noa Essengue,2025,Wing,German BBL,Ratiopharm Ulm,#D74F37,12,Chicago Bulls,CHI,18.5,82,"6'10""",84.75,"7'0.75""",2.75,204
Derik Queen,2025,Big,Big 10,Maryland,#E03A3E,13,New Orleans Pelicans,NOP,20.49,81.25,"6'9.25""",84.5,"7'0.5""",3.25,248
Carter Bryant,2025,Wing,Big 12,Arizona,#CC0033,14,San Antonio Spurs,SAS,19.58,78.5,"6'6.5""",83.75,"6'11.75""",5.25,215
Thomas Sorber,2025,Big,Big East,Georgetown,#8D817B,15,Oklahoma City Thunder,OKC,19.5,81.5,"6'9.5""",90,"7'6""",8.5,263
